,ISBNs,output_types,years,country,unified_title,primary_occupations_main,primary_occupations_detailed,sciences,ABC outputs
1044,9786094470028,authored books,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1045,9786094470042,authored books,2012,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1046,9786094470073,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1047,9786094470158,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1048,9786094470165,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1049,9786094470240,authored books,2012,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1050,9786094470264,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1051,9786094470271,authored books,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1052,9786094470295,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,social sciences,
1053,9786094470325,authored books,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1054,9786094470332,authored books,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1055,9786094470349,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1056,9786094470356,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1057,9786094470394,edited volumes,2011,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1058,9786094470479,edited volumes,2012,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1059,9786094470523,authored books,2013,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1060,9786094470660,authored books,2012,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1061,9786094470691,authored books,2013,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1062,9786094471117,authored books,2013,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1063,9786094471124,authored books,2013,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1064,9786094471179,authored books,2013,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1065,9786094471209,authored books,2014,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1066,9786094471346,authored books,2014,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1067,9786094471490,authored books,2014,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1068,9786094471544,authored books,2014,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1069,9786094471681,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1070,9786094471704,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1071,9786094471827,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1072,9786094471841,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1073,9786094471872,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1074,9786094471988,authored books,2015,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1075,9786094472046,authored books,2016,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1076,9786094472282,authored books,2016,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1077,9786094472299,authored books,2016,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
1078,9786094480003,edited volumes,2011,Lithuania,Drąsinkime ateitį,other publishers,general publishers,social sciences,
1079,9786094490484,authored books,2012,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1080,9786094490613,authored books,2013,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1081,9786094490750,authored books,2014,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1082,9786094490767,authored books,2014,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1083,9786094490798,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1084,9786094490903,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1085,9786094490910,edited volumes,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1086,9786094491146,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1087,9786094500015,edited volumes,2011,Lithuania,Aidai,intermediaries,general publishers,humanities,
1088,9786094500022,authored books,2011,Lithuania,Aidai,universities,general publishers,social sciences,
1089,9786094500305,authored books,2015,Lithuania,Aidai,other publishers,general publishers,humanities,
1090,9786094510014,authored books,2013,Lithuania,Lietuvos agrarinių ir miškų mokslų centras,universities,university departments,agricultural sciences,
1091,9786094540509,authored books,2012,Lithuania,Vitae Litera,other publishers,general publishers,social sciences,
1092,9786094541865,authored books,2015,Lithuania,Vitae Litera,other publishers,general publishers,social sciences,
1093,9786094570223,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1094,9786094570575,authored books,2011,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1095,9786094570803,authored books,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1096,9786094571299,authored books,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1097,9786094572586,authored books,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1098,9786094572739,edited volumes,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1099,9786094572906,authored books,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1100,9786094572920,authored books,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1101,9786094573194,edited volumes,2012,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1102,9786094574511,authored books,2013,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1103,9786094574641,authored books,2013,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1104,9786094574757,authored books,2013,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1105,9786094574771,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1106,9786094574795,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1107,9786094575419,authored books,2013,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1108,9786094576379,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1109,9786094576690,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1110,9786094577208,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1111,9786094577307,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1112,9786094577628,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1113,9786094577642,authored books,2015,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1114,9786094577680,authored books,2014,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1115,9786094578281,authored books,2015,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1116,9786094578366,authored books,2015,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1117,9786094578403,authored books,2015,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1118,9786094578427,authored books,2015,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,technological sciences,
1119,9786094578878,authored books,2016,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1120,9786094579455,authored books,2016,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,humanities,
1121,9786094579783,authored books,2016,Lithuania,Vilniaus Gedimino technikos universitetas,universities,university departments,social sciences,
1122,9786094590061,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1123,9786094590177,authored books,2011,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1124,9786094590207,authored books,2011,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1125,9786094590252,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1126,9786094590320,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1127,9786094590450,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1128,9786094590665,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1129,9786094590818,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1130,9786094590863,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1131,9786094590917,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1132,9786094590948,edited volumes,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1133,9786094590979,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1134,9786094591013,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1135,9786094591266,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1136,9786094591372,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1137,9786094591433,authored books,2012,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1138,9786094591563,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1139,9786094591686,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1140,9786094591822,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1141,9786094591877,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1142,9786094591891,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1143,9786094591938,edited volumes,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1144,9786094592201,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1145,9786094592232,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1146,9786094592287,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1147,9786094592331,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1148,9786094592447,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1149,9786094592454,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1150,9786094592461,edited volumes,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1151,9786094592560,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1152,9786094592683,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1153,9786094592690,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1154,9786094592720,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1155,9786094592744,edited volumes,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1156,9786094592782,edited volumes,2013,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1157,9786094592973,edited volumes,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1158,9786094592980,edited volumes,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1159,9786094593260,edited volumes,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1160,9786094593352,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1161,9786094593383,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1162,9786094593451,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1163,9786094593475,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1164,9786094593505,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1165,9786094593536,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1166,9786094593574,edited volumes,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1167,9786094593598,edited volumes,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1168,9786094593611,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1169,9786094593628,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1170,9786094593703,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1171,9786094593710,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1172,9786094593734,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1173,9786094593994,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1174,9786094594403,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1175,9786094594458,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1176,9786094594496,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1177,9786094594557,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1178,9786094594588,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1179,9786094594595,authored books,2014,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1180,9786094594649,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1181,9786094594786,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1182,9786094594861,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1183,9786094595127,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1184,9786094595288,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1185,9786094595400,edited volumes,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1186,9786094595431,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1187,9786094595479,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1188,9786094595639,authored books,2013,Lithuania,Vilniaus universitetas,universities,university departments,medical and health sciences,
1189,9786094595806,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1190,9786094595875,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1191,9786094595967,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1192,9786094596018,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1193,9786094596094,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1194,9786094596124,edited volumes,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1195,9786094596162,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1196,9786094596186,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1197,9786094596346,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1198,9786094596414,authored books,2015,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1199,9786094596797,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1200,9786094597084,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1201,9786094597268,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1202,9786094597329,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1203,9786094597374,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1204,9786094597626,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1205,9786094597732,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,social sciences,
1206,9786094597961,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1207,9786094597985,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1208,9786094598005,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1209,9786094598333,authored books,2016,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
1210,9786094600517,authored books,2012,Lithuania,Baltic Printing House,intermediaries,publishing services,humanities,
1211,9786094660733,authored books,2014,Lithuania,Tyto alba,other publishers,general publishers,humanities,
1212,9786094670282,authored books,2014,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1213,9786094670473,edited volumes,2014,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1214,9786094670565,authored books,2014,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1215,9786094670770,authored books,2014,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1216,9786094670817,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1217,9786094670824,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1218,9786094671081,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1219,9786094671135,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1220,9786094671197,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1221,9786094671487,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1222,9786094671616,edited volumes,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1223,9786094671647,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1224,9786094671708,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1225,9786094671913,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1226,9786094671999,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1227,9786094672071,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1228,9786094672484,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1229,9786094672538,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1230,9786094672545,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1231,9786094680069,authored books,2014,Lithuania,BMK leidykla,intermediaries,publishing services,social sciences,
1232,9786094680298,authored books,2014,Lithuania,BMK leidykla,intermediaries,publishing services,social sciences,
1233,9786094680588,authored books,2015,Lithuania,BMK leidykla,intermediaries,publishing services,social sciences,
1234,9786094680656,authored books,2015,Lithuania,BMK leidykla,intermediaries,publishing services,technological sciences,
1235,9786094710193,authored books,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1236,9786094710407,edited volumes,2015,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1237,9786094710452,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1238,9786094710551,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1239,9786094710568,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1240,9786094710575,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1241,9786094710605,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1242,9786094710698,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1243,9786094710728,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1244,9786094710742,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1245,9786094710797,edited volumes,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1246,9786094710858,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,humanities,
1247,9786094710933,authored books,2016,Lithuania,Vytauto Didžiojo universitetas,universities,university departments,social sciences,
1248,9786098003024,edited volumes,2010,Lithuania,Kultūros barai,other publishers,general publishers,humanities,
1249,9786098003055,authored books,2011,Lithuania,Kultūros barai,other publishers,general publishers,humanities,
1250,9786098003079,authored books,2013,Lithuania,Kultūros barai,other publishers,general publishers,humanities,
1251,9786098004748,authored books,2011,Lithuania,Utenos Indra,intermediaries,publishing services,humanities,
1252,9786098007060,authored books,2008,Lithuania,Nonparelis,other publishers,general publishers,technological sciences,
1253,9786098010275,authored books,2013,Lithuania,Ex Arte,not publishers,not publishing,humanities,
1254,9786098014006,authored books,2008,Lithuania,Meno rinkos agentūra,not publishers,not publishing,humanities,
1255,9786098014013,authored books,2008,Lithuania,Meno rinkos agentūra,not publishers,not publishing,humanities,
1256,9786098014068,edited volumes,2010,Lithuania,Meno rinkos agentūra,not publishers,not publishing,technological sciences,
1257,9786098014181,edited volumes,2016,Lithuania,Meno rinkos agentūra,not publishers,not publishing,humanities,
1258,9786098015096,authored books,2011,Lithuania,Lietuvos kultūros institutas,not publishers,governmental institutions,medical and health sciences,
1259,9786098018004,authored books,2009,Lithuania,Teisė ir komunikacija,not publishers,not publishing,social sciences,
1260,9786098020083,edited volumes,2009,Lithuania,Alytaus kolegija,universities,university departments,social sciences,
1261,9786098035308,authored books,2014,Lithuania,Naujoji Romuva,other publishers,general publishers,humanities,
1262,9786098037166,authored books,2011,Lithuania,Lietuvos gyventojų genocido ir rezistencijos tyrimo centras,not publishers,governmental institutions,humanities,
1263,9786098038002,edited volumes,2009,Lithuania,Lietuvos kompozitorių sajunga,not publishers,societies,humanities,
1264,9786098038026,authored books,2010,Lithuania,Lietuvos kompozitorių sajunga,not publishers,societies,humanities,
1265,9786098038095,authored books,2015,Lithuania,Lietuvos kompozitorių sajunga,not publishers,societies,humanities,
1266,9786098039061,authored books,2010,Lithuania,Lietuvos nacionalinis muziejus,not publishers,museums,humanities,
1267,9786098039160,authored books,2011,Lithuania,Lietuvos nacionalinis muziejus,not publishers,museums,humanities,
1268,9786098039207,edited volumes,2011,Lithuania,Lietuvos nacionalinis muziejus,not publishers,museums,humanities,
1269,9786098039610,authored books,2015,Lithuania,Lietuvos nacionalinis muziejus,not publishers,museums,humanities,
1270,9786098040227,authored books,2010,Lithuania,Lietuvos sporto universitetas,universities,university departments,social sciences,
1271,9786098040616,authored books,2011,Lithuania,Lietuvos sporto universitetas,universities,university departments,social sciences,
1272,9786098040944,authored books,2016,Lithuania,Lietuvos sporto universitetas,universities,university departments,social sciences,
1273,9786098052053,authored books,2014,Lithuania,Lietuvos turto vertintojų asociacija,not publishers,societies,social sciences,
1274,9786098058017,authored books,2011,Lithuania,Savas takas ir Ko,not publishers,not publishing,social sciences,
1275,9786098058055,authored books,2011,Lithuania,Savas takas ir Ko,not publishers,not publishing,social sciences,
1276,9786098058086,authored books,2013,Lithuania,Savas takas ir Ko,not publishers,not publishing,social sciences,
1277,9786098061017,edited volumes,2010,Lithuania,Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai,not publishers,museums,humanities,
1278,9786098061093,edited volumes,2011,Lithuania,Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai,not publishers,museums,humanities,
1279,9786098061116,authored books,2013,Lithuania,Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai,not publishers,museums,humanities,
1280,9786098061147,authored books,2012,Lithuania,Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai,not publishers,museums,humanities,
1281,9786098061154,authored books,2012,Lithuania,Nacionalinis muziejus Lietuvos Didžiosios Kunigaikštystės valdovų rūmai,not publishers,museums,humanities,
1282,9786098071009,edited volumes,2011,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1283,9786098071047,authored books,2012,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1284,9786098071092,authored books,2015,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1285,9786098071108,authored books,2013,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1286,9786098071115,edited volumes,2013,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1287,9786098071146,authored books,2014,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1288,9786098071184,authored books,2014,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1289,9786098071252,edited volumes,2015,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1290,9786098071337,authored books,2016,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1291,9786098071375,authored books,2016,Lithuania,Lietuvos muzikos ir teatro akademija,universities,university departments,humanities,
1292,9786098074000,authored books,2012,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,humanities,
1293,9786098074017,authored books,2012,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1294,9786098074130,authored books,2013,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,humanities,
1295,9786098074161,authored books,2013,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1296,9786098074185,authored books,2013,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1297,9786098074222,authored books,2014,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1298,9786098074291,authored books,2014,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,humanities,
1299,9786098074383,authored books,2015,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,humanities,
1300,9786098074437,authored books,2015,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1301,9786098074468,authored books,2015,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1302,9786098074505,authored books,2016,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,humanities,
1303,9786098074567,authored books,2016,Lithuania,Generolo Jono Žemaičio Lietuvos karo akademija,universities,university departments,social sciences,
1304,9786098080360,authored books,2013,Lithuania,BMK leidykla,intermediaries,publishing services,social sciences,
1305,9786098080520,authored books,2013,Lithuania,BMK leidykla,intermediaries,publishing services,social sciences,
1306,9786098080810,authored books,2013,Lithuania,BMK leidykla,intermediaries,publishing services,humanities,
1307,9786098081855,authored books,2015,Lithuania,Arx Baltica,intermediaries,publishing services,humanities,
1308,9786098081954,authored books,2016,Lithuania,Arx Baltica,intermediaries,publishing services,social sciences,
1309,9786098082128,authored books,2014,Lithuania,Spaudmeta,intermediaries,publishing services,medical and health sciences,
1310,9786098082258,authored books,2016,Lithuania,Spaudmeta,intermediaries,publishing services,medical and health sciences,
1311,9786098087024,authored books,2013,Lithuania,Mes,other publishers,general publishers,social sciences,
1312,9786098088182,authored books,2016,Lithuania,Vox Altera,other publishers,general publishers,humanities,
1313,9786098089455,authored books,2015,Lithuania,Žuvėdra,other publishers,general publishers,humanities,
1314,9786098108002,authored books,2012,Lithuania,Lygių galimybių kontrolieriaus tarnyba,not publishers,governmental institutions,social sciences,
1315,9786098120240,authored books,2016,Lithuania,Aukso žuvys,other publishers,general publishers,social sciences,
1316,9786098122220,authored books,2015,Lithuania,Ciklonas,intermediaries,publishing services,social sciences,
1317,9786098136036,authored books,2014,Lithuania,MO muziejus,not publishers,museums,humanities,
1318,9786098146011,authored books,2014,Lithuania,Justitia,academic publishers,academic publishers,social sciences,
1319,9786098146028,authored books,2016,Lithuania,Justitia,academic publishers,academic publishers,social sciences,
1320,9786098146073,authored books,2016,Lithuania,Justitia,academic publishers,academic publishers,social sciences,
1321,9786098148206,edited volumes,2015,Lithuania,Versmė,other publishers,general publishers,humanities,
1322,9786098148503,authored books,2016,Lithuania,Versmė,other publishers,general publishers,social sciences,
1323,9786098149005,authored books,2014,Lithuania,Lietuvos mokslo periodikos asociacija,not publishers,societies,social sciences,
