,ISBNs,output_types,years,country,unified_title,primary_occupations_main,primary_occupations_detailed,sciences,ABC outputs
33528,9786090703472,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33529,9786090700273,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33530,9786090703328,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33531,9786090701010,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33532,9786090702987,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33534,9786090702628,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33536,9786090703427,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33537,9786090703496,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33538,9786098218060,authored books,2019,Lithuania,Mažoji leidykla,other publishers,general publishers,humanities,
33539,9786090701935,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33540,9786090701072,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33541,9786090703205,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33542,9786098163223,authored books,2019,Lithuania,Naujasis židinys-Aidai,universities,university departments,humanities,
33545,9786090703298,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33546,9786090703939,authored books,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33547,9786094753473,authored books,2019,Lithuania,Shared Prefixes,intermediaries,self-publishing,humanities,
33610,9782875622068,edited volumes,2019,Belgium,Centre liégeois d'édition scientifique,academic publishers,academic publishers,humanities,
33647,9789027204424,edited volumes,2019,Netherlands,John Benjamins,academic publishers,academic publishers,humanities,
33648,9781350088207,edited volumes,2019,United Kingdom,Bloomsbury,academic publishers,academic publishers,humanities,
33651,9782841749393,edited volumes,2019,France,Éditions Kimé,other publishers,general publishers,humanities,
33653,9783631783856,edited volumes,2019,Germany,Peter Lang,academic publishers,academic publishers,humanities,
33654,9782406100638,edited volumes,2019,France,Classiques Garnier,academic publishers,academic publishers,humanities,
33694,9783631777671,edited volumes,2019,Germany,Peter Lang,academic publishers,academic publishers,humanities,
33696,9789027202475,edited volumes,2019,Netherlands,John Benjamins,academic publishers,academic publishers,humanities,
33699,9789027204721,edited volumes,2019,Netherlands,John Benjamins,academic publishers,academic publishers,humanities,
33702,9781793602534,edited volumes,2019,United States of America,Rowman & Littlefield,academic publishers,academic publishers,humanities,
33707,9783959052306,edited volumes,2019,Germany,Spector Books,other publishers,general publishers,humanities,
33708,9783030233914,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,social sciences,
33753,9788378658016,edited volumes,2019,Poland,University of Gdańsk,universities,university departments,humanities,
33754,9783840501869,edited volumes,2019,Germany,University of Münster,universities,university departments,humanities,
33756,9788825529340,edited volumes,2019,Italy,Aracne,academic publishers,academic publishers,humanities,
33758,9788366220768,edited volumes,2019,Poland,Wydawnictwo Adam Marszałek,academic publishers,academic publishers,humanities,
33765,9789855862506,edited volumes,2019,Belarus,National Institute For Higher Education,universities,university departments,humanities,
33771,9788323347620,edited volumes,2019,Poland,Jagiellonian University,universities,university departments,humanities,
33778,9783862889303,edited volumes,2019,Germany,LINCOM,academic publishers,academic publishers,humanities,
33782,9789532603125,edited volumes,2019,Croatia,Disput,other publishers,general publishers,humanities,
33784,9788857564500,edited volumes,2019,Italy,Mimesis Edizioni,other publishers,general publishers,humanities,
33801,9789462702028,edited volumes,2019,Belgium,KU Leuven University Press,universities,university presses,humanities,
33806,9783374056798,edited volumes,2019,Germany,Evangelische Verlagsanstalt GmbH,other publishers,specialised publishers,humanities,
33814,9786094473388,edited volumes,2019,Lithuania,Vilniaus dailės akademija,universities,university departments,humanities,
33822,9789634161585,edited volumes,2019,Hungary,Research Centre for the Humanities (RCH),not publishers,research institutions,humanities,
33825,9788860993861,edited volumes,2019,Italy,Gabrielli Editori,other publishers,general publishers,humanities,
33826,9786094252464,edited volumes,2019,Lithuania,Lietuvių literatūros ir tautosakos institutas,universities,university departments,humanities,
33830,9788379862313,edited volumes,2019,Poland,"Bogucki, Wydawnictwo Naukowe",academic publishers,academic publishers,humanities,
33847,9789855862025,edited volumes,2019,Belarus,National Institute For Higher Education,universities,university departments,humanities,
33849,9786098183702,edited volumes,2019,Lithuania,Lietuvos istorijos institutas,universities,university departments,humanities,
33852,9786094042805,edited volumes,2019,Lithuania,Druka,intermediaries,publishing services,humanities,
33853,9786094252709,edited volumes,2019,Lithuania,Lietuvių literatūros ir tautosakos institutas,universities,university departments,humanities,
33854,9786090703403,edited volumes,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33855,9786094252488,edited volumes,2019,Lithuania,Lietuvių literatūros ir tautosakos institutas,universities,university departments,humanities,
33856,9786090700976,edited volumes,2019,Lithuania,Vilniaus universitetas,universities,university departments,humanities,
33872,9780815392651,edited volumes,2019,United States of America,Informa (Taylor & Francis),academic publishers,academic publishers,social sciences,
33873,9783732906130,edited volumes,2019,Germany,Frank & Timme GmbH,other publishers,general publishers,humanities,
33874,9789955578215,authored books,2019,Lithuania,Gudų kultūros draugija Lietuvoje,not publishers,societies,social sciences,
33876,9785001560296,edited volumes,2019,Russian Federation,Publishing House Norma,other publishers,specialised publishers,social sciences,
33878,9783631793084,edited volumes,2019,Germany,Peter Lang,academic publishers,academic publishers,social sciences,
33894,9788366220850,edited volumes,2019,Poland,Wydawnictwo Adam Marszałek,academic publishers,academic publishers,social sciences,
33895,9788376885377,edited volumes,2019,Poland,"Nomos, Zakład Wydawniczy",academic publishers,academic publishers,social sciences,
33897,9783495491232,edited volumes,2019,Germany,Nomos,academic publishers,academic publishers,humanities,
33901,9785943570803,edited volumes,2019,Russian Federation,Institut prava i publichnoj politiki,not publishers,governmental institutions,social sciences,
33919,9788363463861,edited volumes,2019,Poland,International Cultural Centre in Krakow,not publishers,research institutions,humanities,
33929,9785824320664,edited volumes,2019,Russian Federation,Izdatelstvo Politicheskaya enciklopediya,academic publishers,academic publishers,humanities,
33931,9783835335615,edited volumes,2019,Germany,Konstanz University Press,universities,university presses,humanities,
33933,9786098213225,edited volumes,2019,Lithuania,Logvino literatūros namai,not publishers,not publishing,humanities,
33934,9786094663925,edited volumes,2019,Lithuania,Tyto alba,other publishers,general publishers,social sciences,
33966,9789955829256,edited volumes,2019,Lithuania,Versus aureus,other publishers,general publishers,social sciences,
33968,9786099563442,edited volumes,2019,Lithuania,Kazimiero Simonavičiaus universitetas,universities,university departments,social sciences,
33969,9786099563466,edited volumes,2019,Lithuania,Kazimiero Simonavičiaus universitetas,universities,university departments,social sciences,
33995,9789855274651,edited volumes,2019,Belarus,"Academy of Public Administration, Belarus",universities,university departments,social sciences,
33996,9786099563480,authored books,2019,Lithuania,Kazimiero Simonavičiaus universitetas,universities,university departments,social sciences,
34002,9789523450165,edited volumes,2019,Finland,Gaudeamus,academic publishers,academic publishers,humanities,
34006,9783030001803,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,social sciences,
34009,9788374520874,edited volumes,2019,Poland,"Askon, Wydawnictwo Naukowe",academic publishers,academic publishers,social sciences,
34492,9783982035703,edited volumes,2019,Germany,Esperiana,academic publishers,academic publishers,natural sciences,
34975,9789955481720,authored books,2019,Lithuania,Lietuvos agrarinės ekonomikos institutas,universities,university departments,social sciences,
34976,9789955481713,authored books,2019,Lithuania,Lietuvos agrarinės ekonomikos institutas,universities,university departments,social sciences,
35052,9783319921013,edited volumes,2019,Switzerland,Springer Nature,academic publishers,academic publishers,social sciences,
35072,9780648117247,edited volumes,2019,Australia,Asia-Pacific Institute of Advanced Research (APIAR),not publishers,research institutions,social sciences,
